,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
5,L08,GUAN,2018119,3.185244219303131,11,7,486.81,1533.85,2018113
6,L08,GUAN,2018135,3.0994462645053864,11,7,486.81,1533.85,2018129
7,L08,GUAN,2018151,2.840385630130768,11,7,486.81,1533.85,2018145
8,L08,GUAN,2018167,2.594862130880356,11,7,486.81,1533.85,2018161
9,L08,GUAN,2018183,2.927128264904022,11,7,486.81,1533.85,2018177
10,L08,GUAN,2018199,2.899863275056033,11,7,486.81,1533.85,2018193
11,L08,GUAN,2018215,2.8047261834144592,11,7,486.81,1533.85,2018209
21,L08,LAJA,2018087,0.8874127344049588,11,7,474.4,1490.8,2018081
64,S2A,GUAN,2018013,3.438046001658148,11,7,486.81,1533.85,2018009
65,S2A,GUAN,2018023,3.453388139009476,11,7,486.81,1533.85,2018017
66,S2A,GUAN,2018033,3.346964302062988,11,7,486.81,1533.85,2018033
67,S2A,GUAN,2018103,3.1791481554508207,11,7,486.81,1533.85,2018097
68,S2A,GUAN,2018133,3.072913627624512,11,7,486.81,1533.85,2018129
69,S2A,GUAN,2018143,2.88330792427063,11,7,486.81,1533.85,2018137
70,S2A,GUAN,2018183,2.7741364467144014,11,7,486.81,1533.85,2018177
71,S2A,GUAN,2018193,2.998459095954895,11,7,486.81,1533.85,2018193
72,S2A,GUAN,2018233,2.897696032524109,11,7,486.81,1533.85,2018233
73,S2A,GUAN,2018253,2.633760989904404,11,7,486.81,1533.85,2018249
74,S2A,GUAN,2018303,3.6639701628685,11,7,486.81,1533.85,2018297
75,S2A,GUAN,2018313,3.471481555700302,11,7,486.81,1533.85,2018313
76,S2A,GUAN,2018323,3.6747236490249633,11,7,486.81,1533.85,2018321
77,S2A,GUAN,2018333,3.5214618384838103,11,7,486.81,1533.85,2018329
78,S2A,GUAN,2018353,3.0709048461914064,11,7,486.81,1533.85,2018353
110,S2A,LAJA,2018023,0.9023329992683566,11,7,474.4,1490.8,2018017
111,S2A,LAJA,2018303,1.2048596016441782,11,7,474.4,1490.8,2018297
112,S2A,LAJA,2018343,0.7618289583921433,11,7,474.4,1490.8,2018337
188,S2B,GUAN,2018018,3.577583986520767,11,7,486.81,1533.85,2018017
189,S2B,GUAN,2018058,3.0895254516601565,11,7,486.81,1533.85,2018057
190,S2B,GUAN,2018088,3.269928284883499,11,7,486.81,1533.85,2018081
191,S2B,GUAN,2018098,3.113020700216293,11,7,486.81,1533.85,2018097
192,S2B,GUAN,2018118,2.959546066522598,11,7,486.81,1533.85,2018113
193,S2B,GUAN,2018158,2.489506472349167,11,7,486.81,1533.85,2018153
194,S2B,GUAN,2018188,2.585391492843628,11,7,486.81,1533.85,2018185
195,S2B,GUAN,2018198,2.541661446094513,11,7,486.81,1533.85,2018193
196,S2B,GUAN,2018228,2.798853007555008,11,7,486.81,1533.85,2018225
197,S2B,GUAN,2018268,3.04991832613945,11,7,486.81,1533.85,2018265
198,S2B,GUAN,2018298,3.3854879260063173,11,7,486.81,1533.85,2018297
199,S2B,GUAN,2018318,3.7973266960394505,11,7,486.81,1533.85,2018313
200,S2B,GUAN,2018328,3.658497378826141,11,7,486.81,1533.85,2018321
201,S2B,GUAN,2018348,3.333582335710525,11,7,486.81,1533.85,2018345
234,S2B,LAJA,2018018,0.8758709484845707,11,7,474.4,1490.8,2018017
235,S2B,LAJA,2018338,0.9066368533919256,11,7,474.4,1490.8,2018337
