,Satellite,Site name,DOY,Site value,h,v,line,samp,c6 DOY
44,L08,JORN,2018107,0.4216651614010334,8,5,1777.73,2394.9,2018105
45,L08,JORN,2018123,0.35930951714515685,8,5,1777.73,2394.9,2018121
46,L08,JORN,2018139,0.24274243474006651,8,5,1777.73,2394.9,2018137
47,L08,JORN,2018155,0.21054801329819842,8,5,1777.73,2394.9,2018153
48,L08,JORN,2018171,0.20375466257333755,8,5,1777.73,2394.9,2018169
49,L08,JORN,2018203,0.3401737856864929,8,5,1777.73,2394.9,2018201
50,L08,JORN,2018219,0.42487136512994766,8,5,1777.73,2394.9,2018217
51,L08,JORN,2018235,0.4375088469684124,8,5,1777.73,2394.9,2018233
52,L08,JORN,2018267,0.2777338452931297,8,5,1777.73,2394.9,2018265
92,L08,SRER,2018128,0.17473116360604762,8,5,1940.94,1419.03,2018121
93,L08,SRER,2018176,0.028437468528362184,8,5,1940.94,1419.03,2018169
94,L08,SRER,2018208,0.2086286599934101,8,5,1940.94,1419.03,2018201
95,L08,SRER,2018224,0.3627307838201523,8,5,1940.94,1419.03,2018217
96,L08,SRER,2018240,0.54930032402277,8,5,1940.94,1419.03,2018233
97,L08,SRER,2018256,0.5492736161971579,8,5,1940.94,1419.03,2018249
98,L08,SRER,2018272,0.3517588920107013,8,5,1940.94,1419.03,2018265
335,S2A,SRER,2018030,0.00614088773727417,8,5,1940.94,1419.03,2018025
336,S2A,SRER,2018040,--,8,5,1940.94,1419.03,2018033
337,S2A,SRER,2018050,--,8,5,1940.94,1419.03,2018049
338,S2A,SRER,2018060,--,8,5,1940.94,1419.03,2018057
339,S2A,SRER,2018070,0.02135754842311144,8,5,1940.94,1419.03,2018065
340,S2A,SRER,2018100,0.012162509794551425,8,5,1940.94,1419.03,2018097
341,S2A,SRER,2018110,0.014302356336265802,8,5,1940.94,1419.03,2018105
342,S2A,SRER,2018170,0.020744663290679456,8,5,1940.94,1419.03,2018169
343,S2A,SRER,2018200,0.02479541108810476,8,5,1940.94,1419.03,2018193
344,S2A,SRER,2018230,0.02976825790479779,8,5,1940.94,1419.03,2018225
345,S2A,SRER,2018240,0.019997890456579626,8,5,1940.94,1419.03,2018233
346,S2A,SRER,2018250,0.026687373717625935,8,5,1940.94,1419.03,2018249
347,S2A,SRER,2018260,0.016036244109272957,8,5,1940.94,1419.03,2018257
348,S2A,SRER,2018270,0.02196600492206517,8,5,1940.94,1419.03,2018265
349,S2A,SRER,2018280,0.0393601078443074,8,5,1940.94,1419.03,2018273
350,S2A,SRER,2018290,0.05624876513336134,8,5,1940.94,1419.03,2018289
351,S2A,SRER,2018300,0.05342891431424055,8,5,1940.94,1419.03,2018297
352,S2A,SRER,2018310,0.049624927159955444,8,5,1940.94,1419.03,2018305
353,S2A,SRER,2018330,0.03762812670320272,8,5,1940.94,1419.03,2018329
637,S2B,SRER,2018005,--,8,5,1940.94,1419.03,2018001
638,S2B,SRER,2018015,--,8,5,1940.94,1419.03,2018009
639,S2B,SRER,2018025,--,8,5,1940.94,1419.03,2018025
640,S2B,SRER,2018035,--,8,5,1940.94,1419.03,2018033
641,S2B,SRER,2018055,--,8,5,1940.94,1419.03,2018049
642,S2B,SRER,2018075,0.0,8,5,1940.94,1419.03,2018073
643,S2B,SRER,2018105,0.009434997448697685,8,5,1940.94,1419.03,2018105
644,S2B,SRER,2018115,0.010892893304117024,8,5,1940.94,1419.03,2018113
645,S2B,SRER,2018125,0.011542703792014542,8,5,1940.94,1419.03,2018121
646,S2B,SRER,2018135,0.019059612493341167,8,5,1940.94,1419.03,2018129
647,S2B,SRER,2018145,0.02179885759121842,8,5,1940.94,1419.03,2018145
648,S2B,SRER,2018155,0.024140922352671623,8,5,1940.94,1419.03,2018153
649,S2B,SRER,2018185,0.01448904164135456,8,5,1940.94,1419.03,2018185
650,S2B,SRER,2018215,0.02113676257431507,8,5,1940.94,1419.03,2018209
651,S2B,SRER,2018225,--,8,5,1940.94,1419.03,2018225
652,S2B,SRER,2018255,0.01611527195200324,8,5,1940.94,1419.03,2018249
653,S2B,SRER,2018265,0.015450501635384101,8,5,1940.94,1419.03,2018265
654,S2B,SRER,2018315,0.04095758781976887,8,5,1940.94,1419.03,2018313
655,S2B,SRER,2018325,0.025367016414308857,8,5,1940.94,1419.03,2018321
656,S2B,SRER,2018335,0.022650242265727785,8,5,1940.94,1419.03,2018329
